,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
45,"Lead Data Scientist, Forecasting",$74K - $166K (Glassdoor est.),Data Science,3.9,"Chick-fil-A, Inc.
3.9","Atlanta, GA",-1,5001 to 10000 Employees,1946.0,Company - Private,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$5 to $10 billion (USD),-1,0,0,74,166,120.0,"Chick-fil-A, Inc.",GA,74.0,data scientist,senior,0,74,166
46,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.3,"Pinterest
4.3","Seattle, WA",-1,1001 to 5000 Employees,2010.0,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1,0,0,74,166,120.0,Pinterest,WA,10.0,data scientist,na,0,74,166
47,Machine Learning Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Glassdoor
3.9","Seattle, WA",-1,501 to 1000 Employees,2007.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Glassdoor,WA,13.0,mle,na,0,74,166
48,Data Scientist I (100% Remote Work Available),$74K - $166K (Glassdoor est.),Data Science,3.6,"USAA
3.6","San Antonio, TX",-1,10000+ Employees,1922.0,Company - Private,Insurance Carriers,Insurance,$25 to $50 million (USD),-1,0,0,74,166,120.0,USAA,TX,98.0,data scientist,na,0,74,166
49,"Senior Data Scientist, Foundations",$74K - $166K (Glassdoor est.),Data Science,-1.0,Tinder,Remote,-1,201 to 500 Employees,2012.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,74,166,120.0,Tinder,Remote,8.0,data scientist,senior,0,74,166
50,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.1,"PayPal
4.1","Bellevue, WA",-1,10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,0,0,74,166,120.0,PayPal,WA,22.0,data scientist,na,0,74,166
51,Statistician,$90K - $115K (Employer est.),Data Science,4.1,"Certified Technical Experts, Inc.
4.1","Atlanta, GA",-1,51 to 200 Employees,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1,0,0,90,115,102.5,"Certified Technical Experts, Inc.",GA,10.0,na,na,0,90,115
52,Sr. Data Scientist,$90K - $115K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,,,Company - Public,,Health Care,,-1,0,0,90,115,102.5,McKesson,Remote,,data scientist,senior,0,90,115
53,"Sr Data Analyst, AMERICAS",$90K - $115K (Employer est.),Data Science,-1.0,Smart AdServer,"New York, NY",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,Smart AdServer,NY,-1.0,analyst,senior,0,90,115
54,Data Scientist,$90K - $115K (Employer est.),Data Science,3.4,"Praescient Analytics
3.4","Washington, DC",-1,51 to 200 Employees,2011.0,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,90,115,102.5,Praescient Analytics,DC,9.0,data scientist,na,0,90,115
