,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
95,Mathematician,$95K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
96,"Director, Data Science- SMB Labs",$95K - $115K (Employer est.),Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
97,Data Scientist,$95K - $115K (Employer est.),Data Science,-1,Community Center for Education Results,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
98,"2022474 Data Scientist $215,000.00",$95K - $115K (Employer est.),Data Science,5.0,"B4CORP
5.0","Chantilly, VA",-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
99,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,-1,Strategic Employment Partners,Remote,-1,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1
100,Lead Data Scientist,$95K - $115K (Employer est.),Data Science,4.0,"Trane Technologies
4.0","Minneapolis, MN",-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
101,Data Science Engineer,$95K - $115K (Employer est.),Data Science,3.6,"M-Tech Systems USA
3.6",Remote,-1,51 to 200 Employees,-1,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
102,Predictive Modeler,$95K - $115K (Employer est.),Data Science,3.3,"Lancer Insurance Company
3.3",Remote,-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
103,Arity-Data Scientist Researcher (Remote-Home Based Worker),$95K - $115K (Employer est.),Data Science,3.5,"Allstate
3.5","Northbrook, IL",-1,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1
104,"Director I, Data Science",$95K - $115K (Employer est.),Data Science,3.8,"Liberty Mutual Insurance
3.8",Remote,-1,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
